year,Money_printed,GDP,Interest_RATE,WPI
1970,7374,474131,7.25,14.3
1971,8323,478918,7.25,15.1
1972,9700,477392,7.25,16.7
1973,11200,499120,7.25,20.1
1974,11975,504914,9,25.1
1975,13325,550379,10,24.8
1976,16024,557258,10,25.3
1977,14388,598885,9,26.6
1978,17292,631839,9,26.6
1979,20000,598974,10,31.2
1980,23424,641921,10,36.9
1981,24937,678033,10,40.4
1982,28535,697861,11,41.4
1983,33398,752669,11,45.3
1984,39915,782484,11,48.5
1985,44095,815049,11,51.3
1986,51516,850217,11,54
1987,58555,880267,10,58.2
1988,66786,969702,10,62.2
1989,81060,1029178,10,66.9
1990,92892,1083572,11,73.7
1991,114406,1099072,13,83.9
1992,124066,1158025,11,92.3
1993,150778,1223816,10,100
1994,192257,1302076,11,112.6
1995,214835,1396974,13,121.6
1996,240615,1508378,13,127.2
1997,267844,1573263,12,132.8
1998,309068,1678410,11.5,140.7
1999,341796,1786526,10.5,145.3
2000,379450,1863773,10,155.7
2001,422843,1972912,8.25,161.3
2002,473581,2047733,5.875,166.8
2003,578716,2222591,5.375,175.9
2004,647495,2389660,6,187.3
